site_id,sample_id,cluster,town,type_of_sampling,visit,date_sampling,singleplex,spc,hf183,s_typhi,site_name,flow_speed,depth_of_wastewater_sewage,width_of_wastewater_sewage,deploy_duration,not_recovered,water_quality,calibrate,temp,orp,p_h,do,ec,ssg,tds,sal
AGO153-01,AGO153-01-G1,AGO153,AGOGO,Grab,1,2022-07-07T00:00:00Z,2,36.98,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G2,AGO153,AGOGO,Grab,2,2022-08-11T00:00:00Z,2,25.97,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G3,AGO153,AGOGO,Grab,3,2022-10-05T00:00:00Z,2,24.92,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G4,AGO153,AGOGO,Grab,4,2022-11-03T00:00:00Z,2,28.4,39.02,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G5,AGO153,AGOGO,Grab,5,2022-12-21T00:00:00Z,2,25.98,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G6,AGO153,AGOGO,Grab,6,2023-01-20T00:00:00Z,2,37.07,22.98,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S1,AGO153,AGOGO,Moore Swab,1,2022-07-07T00:00:00Z,1,24.91,20.8,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S2,AGO153,AGOGO,Moore Swab,2,2022-08-11T00:00:00Z,1,26.64,23.3,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S3,AGO153,AGOGO,Moore Swab,3,2022-10-05T00:00:00Z,2,25.99,19.41,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S4,AGO153,AGOGO,Moore Swab,4,2022-11-03T00:00:00Z,2,24.23,20.4,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S5,AGO153,AGOGO,Moore Swab,5,2022-12-21T00:00:00Z,1,26.52,22.26,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S6,AGO153,AGOGO,Moore Swab,6,2023-01-20T00:00:00Z,1,26.1,16.07,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO154-35,AGO154-35-G1,AGO154,AGOGO,Grab,1,2022-07-27T00:00:00Z,2,23.63,37.54,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G2,AGO154,AGOGO,Grab,2,2022-08-12T00:00:00Z,2,24.31,33.31,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G3,AGO154,AGOGO,Grab,3,2022-10-06T00:00:00Z,1,23.13,30.15,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G4,AGO154,AGOGO,Grab,4,2022-11-04T00:00:00Z,2,25.14,37.01,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G5,AGO154,AGOGO,Grab,5,2023-01-26T00:00:00Z,2,22.49,0,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G6,AGO154,AGOGO,Grab,6,2023-02-02T00:00:00Z,2,20.22,0,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S1,AGO154,AGOGO,Moore Swab,1,2022-07-27T00:00:00Z,2,25.59,32.21,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S2,AGO154,AGOGO,Moore Swab,2,2022-08-12T00:00:00Z,2,23.89,27.05,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S3,AGO154,AGOGO,Moore Swab,3,2022-10-06T00:00:00Z,1,23.98,27.19,1,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S4,AGO154,AGOGO,Moore Swab,4,2022-11-04T00:00:00Z,2,24.07,28.7,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S5,AGO154,AGOGO,Moore Swab,5,2023-01-26T00:00:00Z,2,24.81,30.11,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S6,AGO154,AGOGO,Moore Swab,6,2023-02-02T00:00:00Z,2,23.07,0,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO155-28,AGO155-28-G1,AGO155,AGOGO,Grab,1,2022-07-26T00:00:00Z,2,24.12,33.52,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G2,AGO155,AGOGO,Grab,2,2022-09-27T00:00:00Z,1,23.16,32.01,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G3,AGO155,AGOGO,Grab,3,2022-10-19T00:00:00Z,1,24.83,29.7,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G4,AGO155,AGOGO,Grab,4,2022-11-16T00:00:00Z,1,22.98,24.66,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G5,AGO155,AGOGO,Grab,5,2023-01-11T00:00:00Z,2,20.46,25.71,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G6,AGO155,AGOGO,Grab,6,2023-01-25T00:00:00Z,2,21.18,35.09,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S1,AGO155,AGOGO,Moore Swab,1,2022-07-26T00:00:00Z,1,24.21,26.34,1,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S2,AGO155,AGOGO,Moore Swab,2,2022-09-27T00:00:00Z,1,24.47,27.31,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S3,AGO155,AGOGO,Moore Swab,3,2022-10-19T00:00:00Z,1,25.77,29.96,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S4,AGO155,AGOGO,Moore Swab,4,2022-11-16T00:00:00Z,1,24.09,22.13,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S5,AGO155,AGOGO,Moore Swab,5,2023-01-11T00:00:00Z,1,21.25,27.05,1,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S6,AGO155,AGOGO,Moore Swab,6,2023-01-25T00:00:00Z,2,23.14,25.49,1,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO158-17,AGO158-17-G1,AGO158,AGOGO,Grab,1,2022-07-25T00:00:00Z,1,26.98,0,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-G2,AGO158,AGOGO,Grab,2,2022-09-29T00:00:00Z,2,24.29,37.3,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-G3,AGO158,AGOGO,Grab,3,2022-10-25T00:00:00Z,2,27.58,0,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-G4,AGO158,AGOGO,Grab,4,2022-11-24T00:00:00Z,2,24.32,0,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-G5,AGO158,AGOGO,Grab,5,2022-12-22T00:00:00Z,2,24.92,0,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-G6,AGO158,AGOGO,Grab,6,2023-01-20T00:00:00Z,2,23.33,0,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-S1,AGO158,AGOGO,Moore Swab,1,2022-07-25T00:00:00Z,1,28.62,27.44,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-S2,AGO158,AGOGO,Moore Swab,2,2022-09-29T00:00:00Z,2,24.45,24.39,1,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-S3,AGO158,AGOGO,Moore Swab,3,2022-10-25T00:00:00Z,2,23.92,23.32,1,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-S4,AGO158,AGOGO,Moore Swab,4,2022-11-24T00:00:00Z,2,29.82,0,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-S5,AGO158,AGOGO,Moore Swab,5,2022-12-22T00:00:00Z,1,26.91,28.94,0,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO158-17,AGO158-17-S6,AGO158,AGOGO,Moore Swab,6,2023-01-20T00:00:00Z,1,24.43,29.16,1,Kowirem Washing bay/Beach,2,3,3,24,1,1,1,23.78,2,6.92,32.9,237,0,154,0.07
AGO160-16,AGO160-16-G1,AGO160,AGOGO,Grab,1,2022-07-25T00:00:00Z,2,24.27,35.21,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-G2,AGO160,AGOGO,Grab,2,2022-09-29T00:00:00Z,2,23.33,36.5,1,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-G3,AGO160,AGOGO,Grab,3,2022-10-25T00:00:00Z,1,24.2,0,1,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-G4,AGO160,AGOGO,Grab,4,2022-11-24T00:00:00Z,2,21.1,37.9,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-G5,AGO160,AGOGO,Grab,5,2022-12-22T00:00:00Z,2,25.55,0,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-G6,AGO160,AGOGO,Grab,6,2023-01-20T00:00:00Z,2,24.43,0,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-S1,AGO160,AGOGO,Moore Swab,1,2022-07-25T00:00:00Z,1,23.9,27.24,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-S2,AGO160,AGOGO,Moore Swab,2,2022-09-29T00:00:00Z,2,27.09,23.03,1,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-S3,AGO160,AGOGO,Moore Swab,3,2022-10-25T00:00:00Z,1,25.14,22.26,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-S4,AGO160,AGOGO,Moore Swab,4,2022-11-24T00:00:00Z,2,30.59,25.89,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-S5,AGO160,AGOGO,Moore Swab,5,2022-12-22T00:00:00Z,2,27.69,27.76,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO160-16,AGO160-16-S6,AGO160,AGOGO,Moore Swab,6,2023-01-20T00:00:00Z,2,26.15,23.37,0,Kowirem (behind story building),1,2,2,24,1,1,1,26.2,-1.2,7.17,2,837,0,544,0.35
AGO161-02,AGO161-02-G1,AGO161,AGOGO,Grab,1,2022-07-14T00:00:00Z,1,23.05,32.59,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-G2,AGO161,AGOGO,Grab,2,2022-09-28T00:00:00Z,1,22.52,34.51,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-G3,AGO161,AGOGO,Grab,3,2022-10-20T00:00:00Z,1,24.31,0,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-G4,AGO161,AGOGO,Grab,4,2022-11-17T00:00:00Z,1,28.3,0,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-G5,AGO161,AGOGO,Grab,5,2023-01-17T00:00:00Z,2,23.47,31.54,1,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-G6,AGO161,AGOGO,Grab,6,2023-02-02T00:00:00Z,1,20.36,31.77,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S1,AGO161,AGOGO,Moore Swab,1,2022-07-14T00:00:00Z,1,23.82,20.46,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S2,AGO161,AGOGO,Moore Swab,2,2022-09-28T00:00:00Z,2,24.6,22.7,1,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S3,AGO161,AGOGO,Moore Swab,3,2022-10-20T00:00:00Z,2,22.86,25.63,1,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S4,AGO161,AGOGO,Moore Swab,4,2022-11-17T00:00:00Z,2,25.54,32.95,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S5,AGO161,AGOGO,Moore Swab,5,2023-01-17T00:00:00Z,2,22.76,27.53,1,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO161-02,AGO161-02-S6,AGO161,AGOGO,Moore Swab,6,2023-02-02T00:00:00Z,2,23.97,0,0,Atta-Akwaa house,2,1,1,24,1,1,1,25.4,-287,7.84,1.1,3750,0,2438,1.97
AGO165-31,AGO165-31-G1,AGO165,AGOGO,Grab,1,2022-07-28T00:00:00Z,2,22.84,0,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S2,AGO165,AGOGO,Grab,2,2022-08-12T00:00:00Z,2,24.22,37.13,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G3,AGO165,AGOGO,Grab,3,2022-10-06T00:00:00Z,2,24.09,0,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G4,AGO165,AGOGO,Grab,4,2022-11-03T00:00:00Z,2,23.98,37.24,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G5,AGO165,AGOGO,Grab,5,2023-01-17T00:00:00Z,2,22.44,37.82,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-G6,AGO165,AGOGO,Grab,6,2023-02-01T00:00:00Z,2,19.3,0,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S1,AGO165,AGOGO,Moore Swab,1,2022-07-28T00:00:00Z,2,25.79,32.71,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S2,AGO165,AGOGO,Moore Swab,2,2022-08-12T00:00:00Z,2,31.35,33.47,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S3,AGO165,AGOGO,Moore Swab,3,2022-10-06T00:00:00Z,1,26.45,32.81,1,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S4,AGO165,AGOGO,Moore Swab,4,2022-11-03T00:00:00Z,1,24.54,29.16,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S5,AGO165,AGOGO,Moore Swab,5,2023-01-17T00:00:00Z,2,23.63,0,1,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-31,AGO165-31-S6,AGO165,AGOGO,Moore Swab,6,2023-02-01T00:00:00Z,2,21.13,32.7,0,Provision shop opp Astroturf,2,1,1,24,1,1,1,36.7,-107.6,7.6,1.6,2071,0,1347,1.04
AGO165-32,AGO165-32-G1,AGO165,AGOGO,Grab,1,2022-07-28T00:00:00Z,2,25.29,0,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S2,AGO165,AGOGO,Grab,2,2022-08-12T00:00:00Z,2,24.22,36.28,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G3,AGO165,AGOGO,Grab,3,2022-10-07T00:00:00Z,1,23.54,35.28,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G4,AGO165,AGOGO,Grab,4,2022-11-03T00:00:00Z,1,23.95,37.23,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G5,AGO165,AGOGO,Grab,5,2023-01-17T00:00:00Z,2,23.58,0,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-G6,AGO165,AGOGO,Grab,6,2023-02-01T00:00:00Z,2,20.06,32.96,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S1,AGO165,AGOGO,Moore Swab,1,2022-07-28T00:00:00Z,1,24.89,34.18,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S2,AGO165,AGOGO,Moore Swab,2,2022-08-12T00:00:00Z,2,24.47,25.05,1,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S3,AGO165,AGOGO,Moore Swab,3,2022-10-07T00:00:00Z,1,25,32.4,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S4,AGO165,AGOGO,Moore Swab,4,2022-11-03T00:00:00Z,1,22.89,30.33,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S5,AGO165,AGOGO,Moore Swab,5,2023-01-17T00:00:00Z,2,23.42,29.46,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
AGO165-32,AGO165-32-S6,AGO165,AGOGO,Moore Swab,6,2023-02-01T00:00:00Z,1,27.82,25.94,0,All shall Pass Beauty Salon,2,1,1,24,2,1,1,24.9,-153.6,6.84,4.8,627,0,411,0.26
